hkanji	jis	unicode
亜	3021	U4e9c
哀	3025	U54c0
愛	3026	U611b
圧	3035	U5727
扱	3037	U6271
安	3042	U5b89
暗	3045	U6697
案	3046	U6848
委	3051	U59d4
威	3052	U5a01
尉	3053	U5c09
意	3055	U610f
慰	3056	U6170
易	3057	U6613
為	3059	U70ba
衣	3061	U8863
違	3063	U9055
遺	3064	U907a
医	3065	U533b
井	3066	U4e95
域	3068	U57df
育	3069	U80b2
稲	3070	U7a32
芋	3072	U828b
印	3075	U5370
員	3077	U54e1
因	3078	U56e0
姻	3079	U59fb
院	3121	U9662
陰	3122	U9670
隠	3123	U96a0
韻	3124	U97fb
右	3126	U53f3
宇	3127	U5b87
羽	3129	U7fbd
渦	3132	U6e26
雲	3140	U96f2
営	3144	U55b6
影	3146	U5f71
映	3147	U6620
栄	3149	U6804
英	3151	U82f1
衛	3152	U885b
詠	3153	U8a60
鋭	3154	U92ed
液	3155	U6db2
疫	3156	U75ab
益	3157	U76ca
駅	3158	U99c5
悦	3159	U60a6
園	3160	U5712
宴	3163	U5bb4
延	3164	U5ef6
援	3167	U63f4
沿	3168	U6cbf
演	3169	U6f14
遠	3173	U9060
鉛	3174	U925b
塩	3176	U5869
汚	3178	U6c5a
押	3221	U62bc
横	3223	U6a2a
欧	3224	U6b27
殴	3225	U6bb4
王	3226	U738b
翁	3227	U7fc1
屋	3230	U5c4b
憶	3231	U61b6
乙	3235	U4e59
卸	3237	U5378
恩	3238	U6069
温	3239	U6e29
価	3241	U4fa1
佳	3242	U4f73
加	3243	U52a0
可	3244	U53ef
夏	3246	U590f
嫁	3247	U5ac1
家	3248	U5bb6
寡	3249	U5be1
火	3250	U706b
禍	3252	U798d
稼	3254	U7a3c
箇	3255	U7b87
花	3256	U82b1
荷	3259	U8377
過	3261	U904e
蚊	3263	U868a
我	3266	U6211
画	3268	U753b
介	3270	U4ecb
会	3271	U4f1a
解	3272	U89e3
回	3273	U56de
塊	3274	U584a
壊	3275	U58ca
快	3277	U5feb
怪	3278	U602a
悔	3279	U6094
械	3323	U68b0
海	3324	U6d77
灰	3325	U7070
界	3326	U754c
皆	3327	U7686
絵	3328	U7d75
外	3330	U5916
害	3332	U5bb3
慨	3334	U6168
概	3335	U6982
涯	3336	U6daf
街	3339	U8857
垣	3340	U57a3
嚇	3345	U5687
各	3346	U5404
拡	3348	U62e1
覚	3350	U899a
角	3351	U89d2
較	3353	U8f03
郭	3354	U90ed
閣	3355	U95a3
隔	3356	U9694
革	3357	U9769
学	3358	U5b66
岳	3359	U5cb3
潟	3363	U6f5f
割	3364	U5272
喝	3365	U559d
括	3367	U62ec
活	3368	U6d3b
渇	3369	U6e07
株	3374	U682a
刈	3422	U5208
乾	3425	U4e7e
冠	3427	U51a0
寒	3428	U5bd2
刊	3429	U520a
完	3430	U5b8c
官	3431	U5b98
寛	3432	U5bdb
干	3433	U5e72
幹	3434	U5e79
患	3435	U60a3
感	3436	U611f
慣	3437	U6163
憾	3438	U61be
換	3439	U63db
汗	3440	U6c57
漢	3441	U6f22
環	3444	U74b0
甘	3445	U7518
監	3446	U76e3
看	3447	U770b
管	3449	U7ba1
観	3451	U89b3
貫	3453	U8cab
還	3454	U9084
鑑	3455	U9451
間	3456	U9593
閑	3457	U9591
関	3458	U95a2
陥	3459	U9665
眼	3463	U773c
岩	3464	U5ca9
頑	3468	U9811
顔	3469	U9854
基	3470	U57fa
奇	3471	U5947
寄	3473	U5bc4
岐	3474	U5c90
希	3475	U5e0c
幾	3476	U5e7e
忌	3477	U5fcc
揮	3478	U63ee
机	3479	U673a
機	3521	U6a5f
帰	3522	U5e30
気	3524	U6c17
汽	3525	U6c7d
祈	3527	U7948
季	3528	U5b63
軌	3530	U8ecc
輝	3531	U8f1d
飢	3532	U98e2
騎	3533	U9a0e
鬼	3534	U9b3c
偽	3536	U507d
儀	3537	U5100
宜	3539	U5b9c
義	3541	U7fa9
議	3544	U8b70
菊	3546	U83ca
吉	3548	U5409
却	3551	U5374
客	3552	U5ba2
脚	3553	U811a
虐	3554	U8650
逆	3555	U9006
丘	3556	U4e18
久	3557	U4e45
休	3559	U4f11
汲	3560	U673d
泣	3563	U6ce3
球	3565	U7403
究	3566	U7a76
窮	3567	U7aae
級	3569	U7d1a
巨	3570	U5de8
拒	3571	U62d2
拠	3572	U62e0
挙	3573	U6319
虚	3575	U865a
許	3576	U8a31
距	3577	U8ddd
漁	3579	U6f01
供	3621	U4f9b
競	3625	U7af6
共	3626	U5171
凶	3627	U51f6
協	3628	U5354
恐	3632	U6050
恭	3633	U606d
挟	3634	U631f
教	3635	U6559
橋	3636	U6a4b
況	3637	U6cc1
狂	3638	U72c2
狭	3639	U72ed
鏡	3640	U93e1
響	3641	U97ff
驚	3643	U9a5a
仰	3644	U4ef0
凝	3645	U51dd
暁	3647	U6681
業	3648	U696d
局	3649	U5c40
勤	3650	U52e4
均	3651	U5747
斤	3654	U65a4
琴	3657	U7434
禁	3658	U7981
謹	3660	U8b39
近	3661	U8fd1
金	3662	U91d1
吟	3663	U541f
銀	3664	U9280
九	3665	U4e5d
句	3667	U53e5
区	3668	U533a
具	3671	U5177
愚	3672	U611a
虞	3673	U865e
空	3675	U7a7a
偶	3676	U5076
遇	3678	U9047
隅	3679	U9685
掘	3721	U6398
靴	3724	U9774
薫	3730	U85ab
訓	3731	U8a13
群	3732	U7fa4
軍	3733	U8ecd
郡	3734	U90e1
係	3738	U4fc2
傾	3739	U50be
契	3740	U5951
形	3741	U5f62
径	3742	U5f84
恵	3743	U6075
慶	3744	U6176
憩	3746	U61a9
掲	3747	U63b2
携	3748	U643a
敬	3749	U656c
経	3750	U7d4c
継	3751	U7d99
茎	3754	U830e
蛍	3756	U86cd
計	3757	U8a08
警	3759	U8b66
劇	3760	U5287
撃	3762	U6483
激	3763	U6fc0
傑	3766	U5091
欠	3767	U6b20
決	3768	U6c7a
潔	3769	U6f54
倹	3770	U5039
健	3772	U5065
兼	3773	U517c
券	3774	U5238
剣	3775	U5263
圏	3777	U570f
堅	3778	U5805
嫌	3779	U5acc
検	3821	U691c
権	3822	U6a29
犬	3824	U72ac
献	3825	U732e
研	3826	U7814
絹	3828	U7d79
県	3829	U770c
険	3831	U967a
顕	3832	U9855
験	3833	U9a13
元	3835	U5143
原	3836	U539f
厳	3837	U53b3
幻	3838	U5e7b
弦	3839	U5f26
言	3840	U8a00
限	3842	U9650
個	3844	U500b
古	3845	U53e4
呼	3846	U547c
固	3847	U56fa
孤	3849	U5b64
湖	3850	U6e56
誇	3858	U8a87
午	3861	U5348
呉	3862	U5449
娯	3864	U5a2f
後	3865	U5f8c
御	3866	U5fa1
悟	3867	U609f
交	3872	U4ea4
侯	3874	U4faf
候	3875	U5019
光	3877	U5149
公	3878	U516c
功	3879	U529f
后	3921	U540e
坑	3923	U5751
好	3925	U597d
孔	3926	U5b54
孝	3927	U5b5d
工	3929	U5de5
恒	3931	U6052
慌	3932	U614c
抗	3933	U6297
拘	3934	U62d8
控	3935	U63a7
攻	3936	U653b
更	3939	U66f4
港	3941	U6e2f
溝	3942	U6e9d
甲	3943	U7532
皇	3944	U7687
硬	3945	U786c
稿	3946	U7a3f
紅	3948	U7d05
航	3952	U822a
荒	3953	U8352
行	3954	U884c
衡	3955	U8861
講	3956	U8b1b
貢	3957	U8ca2
購	3958	U8cfc
郊	3959	U90ca
項	3960	U9805
香	3961	U9999
高	3962	U9ad8
剛	3964	U525b
号	3966	U53f7
合	3967	U5408
拷	3969	U62f7
告	3970	U544a
国	3971	U56fd
穀	3972	U7a40
酷	3973	U9177
黒	3975	U9ed2
獄	3976	U7344
腰	3978	U8170
澄	4021	U6f84
寸	4023	U5bf8
世	4024	U4e16
瀬	4025	U702c
畝	4026	U755d
是	4027	U662f
制	4029	U5236
整	4030	U6574
星	4031	U661f
晴	4032	U6674
正	4035	U6b63
清	4036	U6e05
牲	4037	U7272
生	4038	U751f
盛	4039	U76db
誓	4040	U8a93
請	4041	U8acb
逝	4042	U901d
青	4044	U9752
静	4045	U9759
斉	4046	U6589
税	4047	U7a0e
隻	4049	U96bb
石	4050	U77f3
積	4051	U7a4d
籍	4052	U7c4d
績	4053	U7e3e
責	4055	U8cac
赤	4056	U8d64
跡	4057	U8de1
窃	4060	U7a83
節	4061	U7bc0
説	4062	U8aac
雪	4063	U96ea
絶	4064	U7d76
舌	4065	U820c
仙	4067	U4ed9
先	4068	U5148
千	4069	U5343
扇	4070	U6247
栓	4072	U6813
泉	4074	U6cc9
浅	4075	U6d45
洗	4076	U6d17
染	4077	U67d3
潜	4078	U6f5c
繊	4121	U7e4a
船	4125	U8239
薦	4126	U85a6
践	4129	U8df5
前	4130	U524d
善	4131	U5584
漸	4132	U6f38
然	4133	U7136
全	4134	U5168
禅	4135	U7985
繕	4136	U7e55
疎	4142	U758e
礎	4143	U790e
祖	4144	U7956
租	4145	U79df
粗	4146	U7c97
素	4147	U7d20
組	4148	U7d44
双	4150	U53cc
倉	4152	U5009
喪	4153	U55aa
壮	4154	U58ee
奏	4155	U594f
層	4158	U5c64
操	4160	U64cd
早	4161	U65e9
曹	4162	U66f9
巣	4163	U5de3
槽	4165	U69fd
燥	4167	U71e5
争	4168	U4e89
草	4170	U8349
荘	4171	U8358
葬	4172	U846c
藻	4174	U85fb
装	4175	U88c5
走	4176	U8d70
送	4177	U9001
遭	4178	U906d
臓	4221	U81d3
蔵	4222	U8535
贈	4223	U8d08
造	4224	U9020
促	4225	U4fc3
側	4226	U5074
則	4227	U5247
即	4228	U5373
息	4229	U606f
属	4230	U5c5e
賊	4231	U8cca
族	4232	U65cf
続	4233	U7d9a
卒	4234	U5352
存	4238	U5b58
孫	4239	U5b6b
太	4240	U592a
堕	4244	U5815
妥	4245	U59a5
惰	4246	U60f0
打	4247	U6253
対	4250	U5bfe
耐	4251	U8010
帯	4253	U5e2f
待	4254	U5f85
怠	4255	U6020
態	4256	U614b
替	4258	U66ff
泰	4259	U6cf0
退	4260	U9000
逮	4261	U902e
隊	4262	U968a
代	4265	U4ee3
台	4266	U53f0
大	4267	U5927
第	4268	U7b2c
宅	4270	U5b85
択	4272	U629e
拓	4273	U62d3
沢	4274	U6ca2
濯	4275	U6fef
託	4277	U8a17
濁	4279	U6fc1
但	4322	U4f46
達	4323	U9054
奪	4325	U596a
脱	4326	U8131
丹	4330	U4e39
単	4331	U5358
嘆	4332	U5606
担	4334	U62c5
探	4335	U63a2
淡	4338	U6de1
胆	4340	U80c6
誕	4342	U8a95
鍛	4343	U935b
団	4344	U56e3
壇	4345	U58c7
弾	4346	U5f3e
断	4347	U65ad
暖	4348	U6696
恥	4351	U6065
池	4353	U6c60
痴	4354	U75f4
稚	4355	U7a1a
置	4356	U7f6e
致	4357	U81f4
遅	4359	U9045
逐	4360	U9010
秩	4361	U79e9
窒	4362	U7a92
茶	4363	U8336
嫡	4364	U5ae1
着	4365	U7740
中	4366	U4e2d
仲	4367	U4ef2
宙	4368	U5b99
忠	4369	U5fe0
鋳	4372	U92f3
駐	4373	U99d0
著	4378	U8457
貯	4379	U8caf
帳	4422	U5e33
庁	4423	U5e81
弔	4424	U5f14
張	4425	U5f35
彫	4426	U5f6b
徴	4427	U5fb4
懲	4428	U61f2
挑	4429	U6311
聴	4430	U8074
脹	4431	U8139
腸	4432	U8178
調	4434	U8abf
超	4436	U8d85
跳	4437	U8df3
長	4439	U9577
沈	4440	U6c88
珍	4441	U73cd
賃	4442	U8cc3
鎮	4443	U93ae
陳	4444	U9673
津	4445	U6d25
墜	4446	U589c
追	4449	U8ffd
漬	4452	U6f2c
釣	4460	U91e3
亭	4462	U4ead
低	4463	U4f4e
停	4464	U505c
偵	4465	U5075
貞	4467	U8c9e
呈	4468	U5448
堤	4469	U5824
抵	4471	U62b5
提	4473	U63d0
程	4478	U7a0b
締	4479	U7de0
邸	4521	U90b8
泥	4525	U6ce5
摘	4526	U6458
敵	4528	U6575
滴	4529	U6ef4
徹	4530	U5fb9
撤	4531	U64a4
迭	4533	U8fed
鉄	4534	U9244
典	4535	U5178
天	4537	U5929
展	4538	U5c55
店	4539	U5e97
点	4540	U70b9
伝	4541	U4f1d
殿	4542	U6bbf
田	4544	U7530
電	4545	U96fb
吐	4547	U5410
塗	4549	U5857
登	4550	U767b
途	4553	U9014
都	4554	U90fd
努	4558	U52aa
度	4559	U5ea6
凍	4560	U51cd
刀	4561	U5200
唐	4562	U5510
塔	4563	U5854
島	4567	U5cf6
悼	4569	U60bc
盗	4570	U76d7
湯	4572	U6e6f
灯	4574	U706f
当	4576	U5f53
痘	4577	U75d8
等	4579	U7b49
討	4624	U8a0e
謄	4625	U8b04
豆	4626	U8c46
踏	4627	U8e0f
逃	4628	U9003
透	4629	U900f
動	4630	U52d5
同	4631	U540c
堂	4632	U5802
導	4633	U5c0e
洞	4636	U6d1e
童	4638	U7ae5
胴	4639	U80f4
得	4640	U5f97
徳	4641	U5fb3
特	4643	U7279
督	4644	U7763
篤	4646	U7be4
毒	4647	U6bd2
独	4648	U72ec
読	4649	U8aad
屯	4656	U5c6f
内	4662	U5185
軟	4670	U8edf
難	4671	U96e3
二	4673	U4e8c
尼	4674	U5c3c
弐	4675	U5f10
肉	4679	U8089
如	4721	U5982
尿	4722	U5c3f
任	4724	U4efb
妊	4725	U598a
忍	4726	U5fcd
認	4727	U8a8d
念	4730	U5ff5
燃	4733	U71c3
粘	4734	U7c98
農	4740	U8fb2
把	4744	U628a
覇	4746	U8987
波	4748	U6ce2
派	4749	U6d3e
俳	4750	U4ff3
廃	4751	U5ec3
拝	4752	U62dd
排	4753	U6392
敗	4754	U6557
杯	4755	U676f
背	4758	U80cc
肺	4759	U80ba
買	4763	U8cb7
売	4764	U58f2
賠	4765	U8ce0
陪	4766	U966a
泊	4771	U6cca
白	4772	U767d
舶	4775	U8236
薄	4776	U8584
迫	4777	U8feb
漠	4779	U6f20
箱	4822	U7bb1
肌	4829	U808c
髪	4831	U9aea
伐	4832	U4f10
罰	4833	U7f70
抜	4834	U629c
閥	4836	U95a5
帆	4841	U5e06
搬	4842	U642c
板	4844	U677f
版	4847	U7248
犯	4848	U72af
班	4849	U73ed
煩	4851	U7169
頒	4852	U9812
飯	4853	U98ef
晩	4855	U6669
番	4856	U756a
盤	4857	U76e4
彼	4860	U5f7c
悲	4861	U60b2
扉	4862	U6249
批	4863	U6279
披	4864	U62ab
比	4866	U6bd4
泌	4867	U6ccc
疲	4868	U75b2
皮	4869	U76ae
費	4871	U8cbb
避	4872	U907f
非	4873	U975e
飛	4874	U98db
備	4877	U5099
尾	4878	U5c3e
微	4879	U5fae
鼻	4921	U9f3b
匹	4924	U5339
姫	4931	U59eb
百	4934	U767e
俵	4936	U4ff5
標	4938	U6a19
氷	4939	U6c37
描	4941	U63cf
病	4942	U75c5
秒	4943	U79d2
苗	4944	U82d7
賓	4950	U8cd3
頻	4951	U983b
敏	4952	U654f
瓶	4953	U74f6
不	4954	U4e0d
付	4955	U4ed8
夫	4957	U592b
婦	4958	U5a66
富	4959	U5bcc
普	4961	U666e
浮	4962	U6d6e
父	4963	U7236
符	4964	U7b26
腐	4965	U8150
膚	4966	U819a
譜	4968	U8b5c
負	4969	U8ca0
武	4970	U6b66
舞	4971	U821e
部	4974	U90e8
封	4975	U5c01
風	4977	U98a8
勝	3E+21	U52dd
痢	4E+21	U75e2
匠	3E+22	U5320
裏	4E+22	U88cf
升	3E+23	U5347
召	3E+24	U53ec
里	4E+24	U91cc
離	4E+25	U96e2
商	3E+26	U5546
陸	4E+26	U9678
唱	3E+27	U5531
律	4E+27	U5f8b
率	4E+28	U7387
奨	3E+29	U5968
立	4E+29	U7acb
尚	3E+30	U5c1a
留	4E+31	U7559
床	3E+32	U5e8a
硫	4E+32	U786b
粒	4E+33	U7c92
彰	3E+34	U5f70
隆	4E+34	U9686
承	3E+35	U627f
竜	4E+35	U7adc
抄	3E+36	U6284
招	3E+37	U62db
掌	3E+38	U638c
慮	4E+38	U616e
旅	4E+39	U65c5
寮	4E+40	U5bee
料	4E+41	U6599
沼	3E+42	U6cbc
消	3E+43	U6d88
涼	4E+43	U6dbc
渉	3E+44	U6e09
猟	4E+44	U731f
療	4E+45	U7642
焼	3E+46	U713c
焦	3E+47	U7126
照	3E+48	U7167
糧	4E+48	U7ce7
症	3E+49	U75c7
良	4E+49	U826f
笑	3E+50	U7b11
緑	4E+50	U7dd1
粧	3E+51	U7ca7
倫	4E+51	U502b
紹	3E+52	U7d39
厘	4E+52	U5398
肖	3E+53	U8096
林	4E+53	U6797
衝	3E+57	U885d
臨	4E+57	U81e8
輪	4E+58	U8f2a
訟	3E+59	U8a1f
隣	4E+59	U96a3
類	4E+60	U985e
令	4E+61	U4ee4
鐘	3E+62	U9418
障	3E+63	U969c
例	4E+63	U4f8b
冷	4E+64	U51b7
上	3E+65	U4e0a
励	4E+65	U52b1
丈	3E+66	U4e08
乗	3E+68	U4e57
冗	3E+69	U5197
礼	4E+69	U793c
情	3E+70	U60c5
齢	4E+70	U9f62
暦	4E+71	U66a6
条	3E+72	U6761
歴	4E+72	U6b74
列	4E+73	U5217
浄	3E+74	U6d44
劣	4E+74	U52a3
状	3E+75	U72b6
烈	4E+75	U70c8
畳	3E+76	U7573
裂	4E+76	U88c2
廉	4E+77	U5ec9
蒸	3E+78	U84b8
恋	4E+78	U604b
譲	3E+79	U8b72
悪	302D	U60aa
握	302E	U63e1
以	304A	U4ee5
位	304C	U4f4d
依	304D	U4f9d
偉	304E	U5049
囲	304F	U56f2
異	305B	U7570
移	305C	U79fb
維	305D	U7dad
緯	305E	U7def
胃	305F	U80c3
一	306C	U4e00
壱	306D	U58f1
逸	306F	U9038
引	307A	U5f15
飲	307B	U98f2
雨	312B	U96e8
浦	313A	U6d66
運	313F	U904b
永	314A	U6c38
泳	314B	U6cf3
謁	315A	U8b01
越	315B	U8d8a
閲	315C	U95b2
円	315F	U5186
炎	316A	U708e
煙	316C	U7159
猿	316E	U733f
縁	316F	U7e01
凹	317A	U51f9
央	317B	U592e
奥	317C	U5965
往	317D	U5f80
応	317E	U5fdc
黄	322B	U9ec4
沖	322D	U6c96
億	322F	U5104
穏	323A	U7a4f
音	323B	U97f3
下	323C	U4e0b
化	323D	U5316
仮	323E	U4eee
何	323F	U4f55
科	324A	U79d1
暇	324B	U6687
果	324C	U679c
架	324D	U67b6
歌	324E	U6b4c
河	324F	U6cb3
華	325A	U83ef
菓	325B	U83d3
課	325D	U8ab2
貨	325F	U8ca8
芽	326A	U82bd
賀	326C	U8cc0
雅	326D	U96c5
餓	326E	U9913
懐	327B	U61d0
戒	327C	U6212
拐	327D	U62d0
改	327E	U6539
開	332B	U958b
階	332C	U968e
貝	332D	U8c9d
劾	332F	U52be
該	333A	U8a72
格	334A	U683c
核	334B	U6838
殻	334C	U6bbb
獲	334D	U7372
確	334E	U78ba
穫	334F	U7a6b
楽	335A	U697d
額	335B	U984d
掛	335D	U639b
滑	336A	U6ed1
褐	336C	U8910
轄	336D	U8f44
且	336E	U4e14
勘	342A	U52d8
勧	342B	U52e7
巻	342C	U5dfb
喚	342D	U559a
堪	342E	U582a
敢	343A	U6562
棺	343D	U68fa
款	343E	U6b3e
歓	343F	U6b53
簡	344A	U7c21
緩	344B	U7de9
缶	344C	U7f36
肝	344E	U809d
艦	344F	U8266
館	345B	U9928
丸	345D	U4e38
含	345E	U542b
岸	345F	U5cb8
願	346A	U9858
企	346B	U4f01
危	346D	U5371
喜	346E	U559c
器	346F	U5668
旗	347A	U65d7
既	347B	U65e2
期	347C	U671f
棋	347D	U68cb
棄	347E	U68c4
紀	352A	U7d00
規	352C	U898f
記	352D	U8a18
貴	352E	U8cb4
起	352F	U8d77
戯	353A	U622f
技	353B	U6280
擬	353C	U64ec
欺	353D	U6b3a
犠	353E	U72a0
疑	353F	U7591
喫	354A	U55ab
詰	354D	U8a70
及	355A	U53ca
吸	355B	U5438
宮	355C	U5bae
弓	355D	U5f13
急	355E	U6025
救	355F	U6551
糾	356A	U7cfe
給	356B	U7d66
旧	356C	U65e7
牛	356D	U725b
去	356E	U53bb
居	356F	U5c45
魚	357B	U9b5a
享	357D	U4eab
京	357E	U4eac
叫	362B	U53eb
境	362D	U5883
峡	362E	U5ce1
強	362F	U5f37
矯	363A	U77ef
胸	363B	U80f8
脅	363C	U8105
興	363D	U8208
